tipe,BrandTipe,Brand,Top,Middle,Base,Domai,Price
Light Blue,Light Blue Dolce&Gabbana for women,Dolce&Gabbana,"Sicilian,Lemon,Apple,Cedar,Bellflower,Bamboo,Jasmine,WhiteRose","Bamboo,Jasmine,WhiteRose","Cedar,Musk,Amber",citrus,1700000
Versace Pour Homme Dylan Blue,Versace Pour Homme Dylan Blue Versace for men,Versace,"CalabrianBergamot,WaterNotes,Grapefruit,FigLeaf","Ambroxan,BlackPepper,Patchouli,VioletLeaf,Papyrus","Incense,Musk,TonkaBean,Saffron",amber,1457000
Layton,Layton Parfums de Marly for women and men,Parfums de Marly,"Apple,Lavender,Bergamot,MandarinOrange","Geranium,Violet,Jasmine","Vanilla,Cardamom,Sandalwood,Pepper,Patchouli,GuaiacWood",warm spicy,2576000
Jazz Club,Jazz Club Maison Martin Margiela for men,Maison Martin Margiela,"PinkPepper,Neroli,Lemon","Rum,JavaVetiverOil,ClarySage","TobaccoLeaf,VanillaBean,Styrax",tobacco,2016000
Encre Noire,Encre Noire Lalique for men,Lalique,Cypress,Vetiver,"CashmereWood,Musk",woody,1890000
Terre d'Hermes,Terre d'Hermes Hermès for men,Hermès,"Orange,Grapefruit","Pepper,Pelargonium,Flint","Vetiver,Cedar,Patchouli,Benzoin",citrus,1550000
La Vie Est Belle,La Vie Est Belle Lancôme for women,Lancôme,"BlackCurrant,Pear","Iris,Jasmine,OrangeBlossom","Praline,Vanilla,Patchouli,Tonka Bean",sweet,2060000
Hypnotic Poison,Hypnotic Poison Dior for women,Dior,"Coconut,Plum,Apricot","BrazilianRosewood,Jasmine,Caraway,Tuberose,Rose,Lily-of-the-Valley","Vanilla,Almond,Sandalwood,Musk",vanilla,1380960
Y Eau de Parfum,Y Eau de Parfum Yves Saint Laurent for men,Yves Saint Laurent,"Apple,Ginger,Bergamot","Sage,JuniperBerries,Geranium","Amberwood,TonkaBean,Cedar,Vetiver,Olibanum",aromatic,2375000
Spicebomb Extreme,Spicebomb Extreme Viktor&Rolf for men,Viktor&Rolf,"Vanilla,Tobacco,BlackPepper,Caraway,Lavender","Cinnamon,Saffron,Paprika","Tobacco,Leather,Vetiver",fresh spicy,1386000
Eros,Eros Versace for men,Versace,"Mint,GreenApple,Lemon","TonkaBean,Ambroxan,Geranium","MadagascarVanilla,VirginianCedar,AtlasCedar,Vetiver,Oakmoss",vanilla,1619000
Coco Mademoiselle,Coco Mademoiselle Chanel for women,Chanel,"Orange,MandarinOrange,Bergamot,OrangeBlossom","TurkishRose,Jasmine,Mimosa,Ylang-Ylang","Patchouli,WhiteMusk,Vanilla,Vetiver,TonkaBean,Opoponax",citrus,2890000
Libre,Libre Yves Saint Laurent for women,Yves Saint Laurent,"Lavender,MandarinOrange,BlackCurrant,Petitgrain","Lavender,OrangeBlossom,Jasmine","MadagascarVanilla,Musk,Cedar,Ambergris",white floral,1677000
La Nuit de l'Homme,La Nuit de l'Homme Yves Saint Laurent for men,Yves Saint Laurent,Cardamom,"Lavender,VirginiaCedar,Bergamot","Vetiver,Caraway",aromatic,1386000
Good Girl,Good Girl Carolina Herrera for women,Carolina Herrera,"Almond,Coffee,Bergamot,Lemon","Tuberose,JasmineSambac,OrangeBlossom,Orris,BulgarianRose","TonkaBean,Cacao,Vanilla,Praline,Sandalwood,Musk,Amber,CashmereWood,Cinnamon,Patchouli,Cedar",sweet,2268750
Black Orchid,Black Orchid Tom Ford for women,Tom Ford,"Truffle,Gardenia,BlackCurrant,Ylang-Ylang,Jasmine,Bergamot,MandarinOrange,AmalfiLemon","Orchid,Spices,Gardenia,FruityNotes,Ylang-Ylang,Jasmine,Lotus","MexicanChcolate,Patchouli,Vanilla,Incense,Amber,Sandalwood,Vetiver,WhiteMusk",warm spicy,2450000
Sauvage Elixir,Sauvage Elixir Dior for men,Dior,"Nutmeg,Cinnamon,Cardamom,Grapefruit",Lavender,"Licorice,Sandalwood,Amber,Patchouli,HaitianVetiver",warm spicy,2250000
Aventus,Aventus Creed for men,Creed,"Pineapple,Bergamot,BlackCurrant,Apple","Birch,Patchouli,MoroccanJasmine,Rose","Musk,OakMoss,Ambergris,Vanilla",fruity,6930000
Cloud,Cloud Ariana Grande for women,Ariana Grande,"Lavender,Pear,Bergamot","WhippedCream,Praline,Coconut,VanillaOrchid","Musk,WoodyNotes",sweet,1060000
Sauvage,Sauvage Dior for men,Dior,"CalabrianBergamot,Pepper","SichuanPepper,Lavender,PinkPepper,Vetiver,Patchouli,Geranium,Elemi","Ambroxan,Cedar,Labdanum",fresh spicy,2498000
Acqua di Giò Profumo,Acqua di Giò Profumo Giorgio Armani for men,Giorgio Armani,"SeaNotes,Bergamot","Rosemary,Sage,Geranium","Incense,Patchouli",aromatic,1998000
Lost Cherry,Lost Cherry Tom Ford for women and men,Tom Ford,"BitterAlmond,Liquor,BlackCherry","SourCherry,Plum,TurkishRose,JasmineSambac","TonkaBean,Vanilla,PeruBalsam,Cinnamon,Benzoin,Sandalwood,Cloves,Cedar,Patchoul,iVetiver",sweet,5750000
Club de Nuit Intense Man,Club de Nuit Intense Man Armaf for men,Armaf,"Lemon,Pineapple,Bergamot,BlackCurrant,Apple","Birch,Jasmine,Rose","Musk,Ambergris,Patchouli,Vanilla",citrus,850000
Dior Homme Intense 2011,Dior Homme Intense 2011 Dior for men,Dior,Lavender,"Iris,Ambrette(Musk Mallow),Pear","VirginiaCedar,Vetiver",iris,1750000
Alien,Alien Mugler for women,Mugler,Jasmine,WoodsyNotes,Amber,white floral,1650000
By the Fireplace,By the Fireplace Maison Martin Margiela for women and men,Maison Martin Margiela,"Cloves,PinkPepper,OrangeBlossom","Chestnut,GuaiacWood,Juniper","Vanilla,PeruBalsam,Cashmeran",woody,1603700
Black Opium,Black Opium Yves Saint Laurent for women,Yves Saint Laurent,"Pear,PinkPepper,OrangeBlossom","Coffee,Jasmine,BitterAlmond,Licorice","Vanilla,Patchouli,Cedar,CashmereWood",vanilla,1650000
Angels' Share,Angels' Share By Kilian for women and men,By Kilian,Cognac,"Cinnamon,TonkaBean,Oak","Praline,Vanilla,Sandalwood",woody,3450000
Tobacco Vanille,Tobacco Vanille Tom Ford for women and men,Tom Ford,"TobaccoLeaf,SpicyNotes","Vanilla,Cacao,TonkaBean,TobaccoBlossom","DriedFruits,WoodyNotes",vanilla,5200000
Baccarat Rouge 540,Baccarat Rouge 540 Maison Francis Kurkdjian for women and men,Maison Francis Kurkdjian,"Saffron,Jasmine","Amberwood,Ambergris","FirResin,Cedar",woody,4100000
